 Coma                          , 12.2200, 25.0000
 M 3                           , 13.4212, 28.2300
 M 5                           , 15.1836,  2.0500
 NGC 6171 (M107)               , 16.3230,-13.0300
 M 13                          , 16.4142, 36.2800
 M 10                          , 16.5706, -4.0600
 M 92                          , 17.1706, 43.0800
 M 71                          , 19.5348, 18.4700
 NGC 7789                      , 23.5700, 56.4400
